Source_ID,Source_Name,Status_Code,Status_Description,Type_Code,Type_Desc,Address,City,State_Abbr,Postal_Code,Degree_of_Shortage,Designation_Date,Designation_Last_Update_Date,Designation_Pop,Estimated_Underserved_Pop,Estimated_Served_Pop,Formal_Ratio,Total_FTE_Clinicians,Metropolitan_Indicator_Code,Metropolitan_Indicator_Desc,Provider_Ratio_Goal,Percent_Pop_Below_Poverty,HPSA_Score,HPSA_Shortage,Discipline_Class_Num,Discipline_Class_Desc,Component_Source_ID,Component_Source_Name,Component_Status_Code,Component_Status_Desc,Component_Type_Code,Component_Type_Desc,Component_State_Abbr,Component_Postal_Code,Component_Designation_Date,Component_Designation_Date_String,Component_Designation_Last_Update_Date,Geography_ID,CountyFIPS,County_Name,StateCountyFIPS,State_FIPS,State_Abbr_2,State_Name,Primary_State_Name,Primary_State_FIPS,Primary_HHS_Region_Name,US_Mexico_Border_County,US_Mexico_Border_100km,Data_Warehouse_Record_Create_Date,Data_Warehouse_Record_Create_Date_Text,HPSA_Name,HPSA_Component_Name,Break_in_Designation,Geocoding_Primary_X,Geocoding_Primary_Y,HPSA_Pop_Type_Code,HPSA_Pop_Type_Desc,HPSA_Resident_Civilian_Pop,Common_City_Name_with_State_Abbr,Common_Postal_Code,Common_County_Name,Common_StateCounty_FIPS,Common_State_Abbr,Common_State_Name,Common_State_FIPS,Common_Region_Name,HPSA_Withdrawn_Date,HPSA_Withdrawn_Date_String,Provider_Type,Rural_Status_Desc,HPSA_Designation_Pop_Type_Desc
733007,Coos,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,NH,,Not applicable,5/30/1979,6/27/2003,,,,,0,N,Non-Metropolitan,,9,0,,7,Mental Health,,Coos,W,Withdrawn,SCTY,Single County,NH,,5/30/1979,5/30/1979,6/27/2003,33007,7,Coos,33007,33,NH,New Hampshire,New Hampshire,33,Region I,N,N,12/17/2019,12/17/2019,Coos,Coos,N,,,TRC,Geographic Population,,,,"Coos County, NH",33007,NH,New Hampshire,33,Region I,6/27/2003,6/27/2003,,Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,184,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007018400,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,184,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,185,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007018500,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,185,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,130.02,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007013002,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,130.02,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,112,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007011200,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,112,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,113.01,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007011301,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,113.01,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,113.02,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007011302,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,113.02,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,114.01,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007011401,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,114.01,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,114.02,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007011402,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,114.02,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
7449994412,Northern Rhode Island Catchment Area,W,Withdrawn,Hpsa Geo,Geographic HPSA,,,RI,,Not applicable,2/20/2003,8/11/2008,0,,,,,M,Metropolitan,,6.5,0,,7,Mental Health,,114.03,W,Withdrawn,CT,Census Tract,RI,,2/20/2003,2/20/2003,8/11/2008,44007011403,7,Providence,44007,44,RI,Rhode Island,Rhode Island,44,Region I,N,N,12/17/2019,12/17/2019,Northern Rhode Island Catchment Area,114.03,N,,,TRC,Geographic Population,0,,,"Providence County, RI",44007,RI,Rhode Island,44,Region I,8/11/2008,8/11/2008,,Non-Rural,Geographic Population
